0,input,target,prediction
400,extract width:  FILM RECYCLED EASYSLIDING CUTTER STRIP RESOURCES 60.94MX30.4CMPOLYETHYLENE Hero Keep Food Fresh 60.9 4 QUICKStart QUICKCut QUICKWrap CLINGFILM RESYGREES,30.4 centimetre,60.9 inch
3122,"extract wattage: About 1,5hrs Fully Charge for Macbook Air 13 Type-C to Type-C supRorts PD 60W output, convenie quires to be used with a PD charger that supports 60W or above",60.0 watt,60.0 watt
4505,extract volume: 90 Montagne we discovered mountaln energy spring wat er and created ... ists and we 74Hteaven T-Zone s the flowers and es to give you a  INESPORES CRUSHED WITCH HAZEL PRESSED WILLOWHERB l0MIe 0.3 fl oz  PRESSED TEA TREE et shape ar,0.3 fluid ounce,0.3 fluid ounce
5120,extract maximum weight recommendation: BARBELL 20.4 45 KGS LBS STADAO,20.4 kilogram,45 kilogram
7012,extract wattage: Mini Table Saw Rated Voltage:DC-24V CE Rated Power:96W FC Rated Speed:5000RPM Made i,96.0 watt,96.0 watt
485,extract volume: 12BRIK NATURALE 100% da 100 ml iTRIANCOUNI succoe polpa Valfrutta ITALIANA PE,100.0 millilitre,100.0 millilitre
2133,extract volume: de mi tierra MANGO NECTAR FROM CONCENTRATE MANGOS 335 mL JUMEX Fruta de mi tierra,11.3 fluid ounce,335.0 millilitre
2434,"extract depth: al (ww) (mw) (g) length(CM) length(CM) length(CM) 150 150cm 47cm 1.0 8.5 7 65 FRP 180 175cm 49cm 1.0  10.5 8 67 Glass Fiber 210 206cm 49cm 1.0 12.5 10 82 Carbon 240 240cm 50cm 1.0 14.5 11 105 270 273cm 5 0cm 1.0 16.5 12 125 300 396cm 50cm 1.0 19.1 12 145 Ultralight, glass fiber Ultra-short:41-45cm super",273.0 centimetre, 396.0 centimetre
6628,extract height: Voltage: 100-240VAC Cap type: 112mm/4.411in B22 Rated Power: 15W SAUGLAE Color Temperature: 6000K  41mm/1.61in,112.0 millimetre,112.0 millimetre
6122,extract maximum weight recommendation: KG Weight Capacity: 226kg 54 cm 44 cm 98 cm 44 cm 156 cm 37 cm 99 cm,226.0 kilogram,226 kilogram
3851,"extract weight: 100%Veg R MINATURE ""Say Mi Nature, Say Hi To Nature""  EGRANATEPEEL POWDER NO COMMON ALLERGENS Net Wet : 227g (8oz.)",8 ounce,8.0 ounce
497,extract wattage: inum Alloy Controller Cable Ties and Plastic Coil 36V/250W 18cm 8cm 4.5cm Pedal Assist Crank Sensor B omly Packaged Thumb Throttle with Power Indicator 6cm 12cm 27-cm Brake with 172cm Power Cord Quality ,250.0 watt,250.0 watt
2940,extract width: Specific Size 30cm/11.8in 30cm/11.8in 85cm/33.5in,30.0 centimetre,30.0 centimetre
2109,extract height: 6.5cm/2.6in Cable Length:20cm/7.9in 8.5cm/3.3in 5.5cm/2.2in,6.5 centimetre,6.5 centimetre
3312,extract maximum weight recommendation:  with the jumping mat Weight Quantity Length Ours 117.4 42 74.2  g cm Others,117.4 gram,117.4 gram
1883,extract height: 4.5 inch 3.9 inch 6.25 inch,4.5 inch,3.9 inch
6932,extract volume: COMPOSITION: Each 10 ml. contains Vitis Vinifera 1.822 gm. Woodtordia 0.291 gm. Fruticosa Elettaria  Cardamomum 0.036 gm. Cinnamomum Leaf 0.036 gm. Mesuaferrea 0.036 gm. Callicarpa Macrophylla  0.036 gm. Piper Nigrum 0.036 gm Piper Longum 0.036 gm. Embelia Ribes 0.036 gm. DOSAGE: Adults: 10 ml  thrice daily Children: 5ml. thrice daily.  or as directed by the Physician,10.0 millilitre,10.0 millilitre
3732,extract depth: 2 PCS 1.57in/4cm 3.15in/8cm Thickness 0.2/0.5cm Color Random,8.0 centimetre,8.0 centimetre
4341,extract voltage: LITHIUM ION 20V MAX Camping Construction LITHIUM ION MAX 20V Wor k Shop Garage LITHIUM ION 20v MAX LITHIUM ION 20v MAX,20.0 volt,20.0 volt
5801,extract width: 17.3cm /6.8in MODEL/ LTE-1101J POWER VOLTS/ AC 220V 2-10W ISO9001:2000 10.2cm / 4.0in,10.2 centimetre,10.2 centimetre
1405,extract width: 3cm 19cm 9cm Scene display Scene display Frenchi's,9.0 centimetre,3.0 centimetre
2182,"extract maximum weight recommendation: Approximate Dimensions Maximum Load:285LBS 14"" 71/2"" 3/4"" 161/2"" 81/4""",285 pound,285 pound
5719,extract weight: h Size Table Neck Line Length Width Height Weight 40cm/15.75 14.5cm/5.71 40g Material: Net Note:Measu rement difference from 1-3cm; As different computers display colors differen,40.0 gram,40.0 gram
2085,extract depth: 380 mm 90 mm,380.0 millimetre,380.0 millimetre
2285,extract depth: ustable for Different Grow Stages Harvest Growing 10.4 inch 15 inch Seedling stage inch,10.4 inch,10.4 inch
2662,extract maximum weight recommendation: ED THEDOG'S BED SIZE Dimensions (cm) WEIGhT (KGS) 71x48x10 cm 2.0 kgs SMALL 86x56x10 cm 2.3 kgs MEDIU M LARGE 101x64x15 cm 3.8 kgs XL 117x71x15 cm 4.85 kGS XXL 135x91x15 cm 7 kgs XXXL 162x111x15 cm 9 k,2 kilogram,4.85 kilogram
6930,extract wattage: ERYWALLSCONCE Brighter & wider illumination range 4W Brighter Version 2W Version,4.0 watt,4.0 watt
434,"extract depth: 69 cm (27.2"") 96 cm (37.8 205 cm 80.7)",205.0 centimetre,205.0 centimetre
4416,extract wattage: Super fast charging: 80% 1Om until full ANOPc Super Fast Charging 80% 35 Cha rge mins Samsung S20 Support Super Fast Charging Mode with 25/45/65w O,65.0 watt,65.0 watt
6165,"extract wattage: acbook SSD Model Number Early Late SINTECHADAPTER 2010 2011 2012 2013 2013 2014 2015 2016 2017 2018 2 019 6+12Pin 7+17Pin 12+16Pin PA5025A ST2011SA PA5025G PA-U3C2011 PA-U3C2012 ST-A2013SA-B ST2013A2 PA- 2013-USB3380C 6+12PI Lacbook TOSHIBA: 12+16PIN Air SSD THNSNC128GDJ IHAS8S128GEFP HNSNS256GFP  SamsungZ-JPU128T/256TZ-JPV1280/2560 THNSNC256GIDJ Sandisk:SD6PQ4-128GSD6PQ4-256G Sansung: IZ-CP A1280 17-EPC128 Toshiba:THNSN2128GSPS Z-CPA2560 17-EPC256 17-EPC512 7+17Pin SAMSONS PA5025G PA5025FC  ST-A2013SA-B ST2013A12 PA-PROU3C PA-2013-USB3380C ST-2016PR0-PCE4X Lacbook 7+17PIN SamsungZ-JPU128 T/256T, ST-2016PR003C PRO SSD SanDisk SD5SL2-xxx IZ-JPV1280/2560 Sansung IZ-DPCxxx Sandisk:SD6 PQ4-128G, SD6PQ4-256G Ioshiba:THNSN2128GSPS PA5025G PA5025FC ST-A2013SA-B ST2013A12 SI-A2013SA-B SI- A2013SA-B PA-PROU3C PA-2013-USB3380C ST2013A2 ST2013A2 SanDisk SD5SL2-xxx Samsung:Z-JPU128T/256T, SSD  PA-2013- PA-2013- Inac IZ-JPV1280/2560 USB3380C USB3380C Sansung IZ-DPCxxx Sandisk:SD6PQ4-128G,  SD6PQ4-256G Ioshiba:THNSN2128GSPS IAC IINI ST-A2013SA-B ST2013A12 SSD PA-2013-0SB3380C SI- 2013SA-B S T2013A2 ac PRO SSD PA-2013- USB3380C",4.0 watt,240.0 watt
2159,extract weight:  HD QUNDATIOE FOUNOATION HOUR FOUNDATION HD HD OH 30mC.0 HOUR FOUNOATION FOUNDATION HOUR HOUR,1.01 ounce,1.0 ounce
4045,"extract depth: 6.3"" 11.8"" 16.1"" 3.1"" 7.8"" 10.2'",10.2 inch,16.1 inch
2537,extract wattage: 3-IN-1 Common3-in-1 Unilateral pull patent design Super Charging Sign  No Super Charging 94.70 24.70% Super Charging Max40W 5A Super Charging,40.0 watt,40.0 watt
798,extract wattage: BNC To HDMI Converter Display HD 1080Pr720P Video AdaptorSurveillance Mlonitor HDMI Converte,1080.0 horsepower,1080.0 horsepower
575,extract width: 101in 60in 34in,101.0 inch,60.0 inch
4599,"extract width: 1"" x 25Yards",1.0 inch,25.0 inch
3570,extract wattage: 36V250W High-quality motor 25 Km/h Maximum speed 45 N.M Maximum torque Speed 21 Gear- Shimano Shifter,250.0 watt,250.0 watt
6481,extract width: 177 mm 1.5 m 255 mm 120 mm 342 mm 500 mm 111111 111111 1000 mm *Materiel de montage inclus,1000.0 millimetre,1000.0 millimetre
76,extract height: 5.9inch/15cm 1.2inch/3cm(Thick 11.8inch/30cm,30.0 centimetre,30.0 centimetre
684,extract maximum weight recommendation:  lear SCRUB SOOFT CLRIAYINEG ENTY OLIENS WEB VETWT50Z(141g) KISS FACE,5.0 ounce,141.0 gram
