input,target,id
extract weight                       : -Z01OK XO SIZ E:160*55.5*75 m/63*21.9*29. 5in WEIGHT: 28kg/61.6lb,28.0 kilogram,0
extract width                        : H 11/4 Lean,98.0 millimetre,1
"extract voltage                      :  B023 Rated V e 110V 220V R y 50/60Hz Rat r 12W Manufac s 1,No 16-1,F g 5th Road,He  +86075523595 786 E2EURO Co se9B,71636 Lu",220.0 volt,2
"extract depth                        : 2.48'/63mm 0. 98inch/25mm  M4 1.97""/50m",25.0 millimetre,3
extract weight                       : 7.5cm urban p t 11.5cm CHUT   200g/7oz Be,200 gram,4
extract maximum weight recommendation: 5 SHELVES O D 18KG NON SL,18 kilogram,5
extract depth                        :  R68903011 R6 8903011 Setll tl1x,600.0 millimetre,6
extract weight                       : i 5%PutenHahn r 400g Einwaa f 3807 5423-9 6968001 Ziege Be5.33775Vers,400.0 gram,7
"extract weight                       : L 2,5 mg Film",2.5 milligram,8
extract depth                        : 1.5cm 22.5cm  33cm,33.0 centimetre,9
"extract height                       : 170 cm(66.9"")  3 cm(12. 6  48 cm(18.9""",66.9 inch,10
extract voltage                      : DC5V/1A WKT19 0711 8 Lighti,5.0 volt,11
"extract volume                       : s 5 Minuten z e 1 Aufgussbe e 200ml).Wir  n 1-2 Tassen. s 5 minutes D  (200ml).Nous r 1 a 2 tasse o 5 minu- ti.  (200 ml.Si c i 1-2 tazze.  o 100ml/pro P  (200ml)Energ t 3 kJ1 kcal/ 7kJ 2 kcalF g/0gdavon ges g/0g Kohlenhy te0,2g/0.4gda r<0.1g/<0,1gE s 0g/0gSalz 0 g/0gZink 1.25 g/2.5mg* *12, 5% der Refe r 25% der Ref s 20 Teebeute l=20 Portione n 1 Portion=1 n 200ml Wasse",100.0 millilitre,12
extract wattage                      : R-248800,88300.0 watt,13
extract wattage                      : e 550 Oalexan e 550360.CRI  -240V-50/60Hz,7.0 watt,14
extract maximum weight recommendation: o 30Ib 301b m n 053 E 0.7in  0.5mm,30 pound,15
extract height                       : 15.5cm 23.5c m 50cm 7cm 65 m 15.5cm 45cm  105cm 70cm 7 0cm 84cm 44 m 46cm 120cm,15.5 centimetre,16
extract maximum weight recommendation: o 15KG,15.0 kilogram,17
extract depth                        : e 12.6in 7in  5.7in 10.4in,10.4 inch,18
extract weight                       : A 20g Himalay,20 gram,19
extract wattage                      : GU10W JType T r 2.76in(7cm) GU10Socket 2. 16in(5.49cm)  1.18in(3cm),10.0 watt,20
extract maximum weight recommendation: P 120 Height  s 152 Cms Wei g 60Inches Ca t 61 Cms Widt h 64 Cms 24In s 25 Inches,120 kilogram,21
extract volume                       : -10 Litre 6.9 7 Litre - M N 4.86 Litre ,4.86 litre,22
extract volume                       : t 1155 Bounce,9.0 litre,23
extract weight                       : R 100 BIOSTIN R 00 100 100P T 100 SERVING r 700 g P0WDE N 80094017,700.0 gram,24
"extract weight                       : t 17g 22% Tot e 18g Saturat t 4g 20% Diet r 2g 7% Servi : 1 bar (60g) t 0g Total Su s 14g 2,000 c g 0% Includes  10g Added Su rs20% Sodium3 0mg 1%Prote n 16g Calorie s 270 per ser D 0mcg 0%  Ca m 56mg 4%  Ir n 1mg 6%  Pot m 79mg 2% Ing R 8A5RAUSCH43 064",60.0 gram,25
"extract voltage                      : N 9.84"" 10.98 AX59 "" Turnab : 90 - 130V W : 15W Color T : 3000K Mater  K9 Crystal 9 .25 Lumen : 1 200lm Life Ti : 50000 hours , 3.94"" shopp","[90.0, 130.0] volt",26
extract depth                        : : 6.3IN 0.5mm m 1 2 3 4 5 6  7 8 9 10111 213141516 nm,6.3 inch,27
"extract wattage                      : 20""36V250W F r 100mm",250.0 watt,28
extract voltage                      : E26 Bub Base  e:60W Voltage :110V-240V Li,"[110.0, 240.0] volt",29
extract voltage                      : : 3x2A + 5V O,5.0 volt,30
extract wattage                      : R 4G 17CM/6.6 9IN 3.33 .3 M/2.9IN Sunda r 15 Jeebel 1 0CM/3.9IN 1 4.6CM/5.7IN 3 M/1.18IN Swip r 7.1CM/2.80I t:5V/2A Rated r:4.5W Tank C y:180ml & fix r:7 color fla,4.5 watt,31
extract weight                       : E 100%PROTEIN HT1Kg(2.20lbs,2.2 pound,32
extract weight                       : e 18:0.0 R GO B 16million c s 9 Ocean Wav m 18:0.0 Snoo on165mm 170mm  75mm Pgroduc :K8 Input:5V2 : 350g FCCE R   18:0.0,350.0 gram,33
extract voltage                      : y 10 Inches D C12U,12.0 volt,34
extract maximum weight recommendation: 945 tt OFFICE,3.0 microgram,35
extract wattage                      : E26 X 3 Max 6 w 78.8in 6.3i n 8.28in,60.0 watt,36
extract width                        : 27.5cm 17.5c m 4.5cm Color m 8cm 8cm,27.5 centimetre,37
extract width                        : 20cm 28.5cm,28.5 centimetre,38
extract wattage                      : A 2 SATA FCCE,2.0 watt,39
extract weight                       : S 162 B.I.G R,162.0 gram,40
extract maximum weight recommendation: T 300 KG 38 c m 38 cm 38 cm,300 kilogram,41
"extract wattage                      : L-16 Material y 1200mAh Rat e 5V/1A Rated r 4W Light co r 2600k~3100k t 402,No 65Ha",4.0 watt,42
"extract volume                       : e:0.7ml Servi s:84 Amount P y 0.7 ml (Ros d 333 mg/ml H o 1:3 ZERO:AR  (50-60%),dis x 0.7 ml 30 d h 2 fluid oun e 1 to 3 time",2.0 fluid ounce,43
extract width                        : 20cm 45cm17. 7 14 cm Produ r 2 Condition n 4CM Chair c an7CM Chair c n 5CM,17.7 inch,44
extract maximum weight recommendation: L:32*24*7.2 i o 35 lbs For  o 55 lbs XXL: 35.4*27.6*6. 7in For jum o 95 lbs XXXL :43.3*35.4*9 ,95 pound,45
extract depth                        : 4.17 in 2.95 ,4.17 inch,46
extract maximum weight recommendation: x.2olbs Folde d 5-Levels Wh e 38in-46in h d:330pounds 1 0.2in 40in,330 pound,47
"extract maximum weight recommendation: 34cm (13,4"")  34cm (13,4"") o 25 kg (55 L",25 kilogram,48
extract depth                        : 14cm 5cm 7.5,7.5 centimetre,49
extract volume                       : u 6 Stunden u zu12Stunden 7 G 7 cm Groe O O.62L Tasse v,0.62 litre,50
extract depth                        : 17.5cm 19cm  12cm 31cm,31.0 centimetre,51
extract depth                        : 40cm 7cm 10. 5cm 16cm Ma,40.0 centimetre,52
extract maximum weight recommendation: P 200 KG Sitt e 22x22 Inche t 173Cm/68 36 m/14 Inches I h 99 Cm/39 In,200 kilogram,53
extract voltage                      : P 365 days SA O 12V/24VSMD3 528/5050LEDSt IY4 DIYS ADE,24.0 volt,54
extract weight                       :  (69%) scorze,2.5 gram,55
extract wattage                      : H:120cm D:100 D-45W Materia e:10-18m2,45.0 watt,56
extract voltage                      : A 20 400500 G X 300 10 200G K-120 A.METER  f440V AC EXT,250.0 volt,57
extract depth                        : RP60RMP W: 10 00mm 60mm 1  600mm,1000.0 millimetre,58
extract voltage                      : S 55 FEBQ160  m 1200w.2000- 5800 min 50-6 0Hz 220-240 r.2048252019- 09 STO S-Nr. 40298627 Fest r.20 D-73240W,"[220.0, 240.0] volt",59
"extract width                        : 11118 PACKAGE T 6.7"" 8.7"" 1  4.8"" 10.3""  59""",6.7 inch,60
"extract wattage                      : N 21.66"" Flat x:47.25"" 2.37  4.7 27.56""  : 110V AC E26 X 40W Wattage to40W each Co  E26 Cable Le : 47.25""Adjus",40.0 watt,61
extract height                       : 7cm/2.8inch  16cm/6.3inch  5.7cm/2.2in,5.7 centimetre,62
extract depth                        : m 9 A slight  g 03. 15 Qsiy e 104 Gigb,15.0 inch,63
extract height                       : n 4.5 inches/ 11.5 cm 5.5  s/14 cm inche s/2.5 cm 4.3  s/11 cm 4.3 i s/11 cm 3.2 i s/8.2 cm,4.3 inch,64
"extract voltage                      : s:20pcs (whit n 80.000 hour s:350 lumens  nt60 mA Worki DC3.7V Lithiu y:600mAh(A pr o 500 times T n 600times Th :-10-50C Prod YH070 Brand:M m 502#,1 Buil t.56.40239 Du  +49211310546 98 8- OPBCLT e 7 Nohuf Wes HD1 tRL UK Em .+44077430551 54",3.7 volt,65
"extract height                       : 171cm-184cm 0 ,5cm 25cm",171.0 centimetre,66
extract maximum weight recommendation: o 100 kg,100 kilogram,67
extract volume                       : l 30 m resto ,30.0 millilitre,68
extract weight                       : a 100% Natura a 25 The natu . 25 bag/0.87,1.0 gram,69
extract maximum weight recommendation: d 30 kgs of p,30 kilogram,70
extract weight                       : F 0.47in/12.1 m 0.95in/24.6 m 0.18in/4.6m Y 0.54in/13.8 m 0.95in/24.6  S925 SILVER  : 3g/0.10oz E,3.0 gram,71
extract voltage                      : . 1*AA batter F 3.3ft 20 Ie,1.5 volt,72
extract wattage                      : ML9,67.0 watt,73
extract height                       : X 17cm/ 6.68i n 5cm/ 1.97in,6.68 inch,74
extract width                        : k 20 FIN B53   H3 [] B53 19 197mm 85g.m B 5 []PK8 3 2 57mm 20,197.0 millimetre,75
extract height                       : 5.9inch/15cm  1.2inch/3cm(T k 11.8inch/30,30.0 centimetre,76
extract maximum weight recommendation: n 150.0 Kilog,150 kilogram,77
"extract depth                        : to50 lbs 5 15 .8"" 4 15",15.0 inch,78
extract depth                        : E 5 X 7 INCHE S 5 INCHES AB S 7 INCHES BR r 10th 11:00a e 123 Main St at813555-1234,7.0 inch,79
extract width                        : E 2.9cm/1.14i n 1.5cm/0.59i n 4.5cm/1.77i n 4.3cm/1.69i,4.3 centimetre,80
extract volume                       :  l90105202048 5 -,19.0 millilitre,81
extract weight                       : 25G 0 REAL P T.25.8 OZ 1.6 1 LBS)(731. 5 GRAMS),25.8 ounce,82
extract height                       : 118cm 80cm 12,118.0 centimetre,83
