0,input,target,prediction
400,extract width                        : S 60.94MX30.4 h 60.94 QUICK,30.4 centimetre,60.94 millimetre
3122,"extract wattage                      : t 1,5hrs Full r 13 Type-C t D 60W output, s 60W or abov",60.0 watt,60.0 watt
4505,extract volume                       : 90 Montagne  e 74Hteaven T  l0MIe 0.3 fl,0.3 fluid ounce,1.3 fluid ounce
5120,extract maximum weight recommendation: L 20.4 45 KGS,20.4 kilogram,45 kilogram
7012,extract wattage                      : C-24V CE Rate r:96W FC Rate d:5000RPM Mad,96.0 watt,96.0 watt
485,extract volume                       : 12BRIK NATUR E 100% da 100,100.0 millilitre,100.0 volt
2133,extract volume                       : S 335 mL JUME,11.3 fluid ounce,335 millilitre
2434,extract depth                        : ) 150 150cm 4 7cm 1.0 8.5  7 65 FRP 18 0 175cm 49cm  1.0 10.5 8 67 r 210 206cm 4 9cm 1.0 12. 5 10 82 Carbo n 240 240cm 5 0cm 1.0 14. 5 11 105 270  273cm 50cm 1. 0 16.5 12 125  300 396cm 50 m 1.0 19.1 12  145 Ultralig t:41-45cm sup,273.0 centimetre,150 centimetre
6628,extract height                       : : 100-240VAC  : 112mm/4.411  B22 Rated Po : 15W SAUGLAE : 6000K 41mm/ 1.61in,112.0 millimetre,15.0 watt
6122,extract maximum weight recommendation: : 226kg 54 cm  44 cm 98 cm  44 cm 156 cm  37 cm 99 cm,226.0 kilogram,226 kilogram
3851,extract weight                       : 100%Veg R MIN : 227g (8oz.),8 ounce,227 gram
497,extract wattage                      : l 36V/250W 18 m 8cm 4.5cm P r 6cm 12cm 27 h 172cm Power,250.0 watt,36.0 watt
2940,extract width                        : e 30cm/11.8in  30cm/11.8in  85cm/33.5in,30.0 centimetre,85.0 centimetre
2109,extract height                       : 6.5cm/2.6in C h:20cm/7.9in  8.5cm/3.3in 5 .5cm/2.2in,6.5 centimetre,10.0 centimetre
3312,extract maximum weight recommendation: s 117.4 42 74 .2  g cm Oth,117.4 gram,117.4 gram
1883,extract height                       : 4.5 inch 3.9  h 6.25 inch,4.5 inch,4.5 inch
