,image_link,group_id,entity_name,entity_value
0,https://m.media-amazon.com/images/I/71ZfmB-HpXL.jpg,442321,item_weight,28.0 kilogram
1,https://m.media-amazon.com/images/I/51TjstAtapL.jpg,762585,width,98.0 millimetre
2,https://m.media-amazon.com/images/I/91inA4ps+RL.jpg,752266,voltage,220.0 volt
3,https://m.media-amazon.com/images/I/51fCXf+f-zL.jpg,675317,depth,25.0 millimetre
4,https://m.media-amazon.com/images/I/61eg3WjO5OL.jpg,993359,item_weight,200 gram
5,https://m.media-amazon.com/images/I/61I4uDw2jjL.jpg,178958,maximum_weight_recommendation,18 kilogram
6,https://m.media-amazon.com/images/I/51qq67KOYTL.jpg,278696,depth,600.0 millimetre
7,https://m.media-amazon.com/images/I/51QSbfzHB9S.jpg,892291,wattage,18188.0 watt
8,https://m.media-amazon.com/images/I/712QSq-RoXL.jpg,628971,item_weight,400.0 gram
9,https://m.media-amazon.com/images/I/41uW6qeAOCL.jpg,524635,item_weight,2.5 milligram
10,https://m.media-amazon.com/images/I/6107k0eIjdL.jpg,784538,depth,33.0 centimetre
11,https://m.media-amazon.com/images/I/51S53Z1UUzL.jpg,276611,height,66.9 inch
12,https://m.media-amazon.com/images/I/61esL2kIsUL.jpg,641642,voltage,5.0 volt
13,https://m.media-amazon.com/images/I/71OCQn1tygL.jpg,281678,item_volume,100.0 millilitre
14,https://m.media-amazon.com/images/I/61iPPiH3B6L.jpg,892291,wattage,88300.0 watt
15,https://m.media-amazon.com/images/I/71WifFN8lML.jpg,648011,wattage,7.0 watt
16,https://m.media-amazon.com/images/I/617dUnyTR2L.jpg,156839,maximum_weight_recommendation,30 pound
17,https://m.media-amazon.com/images/I/51DMduvBAdL.jpg,589105,height,15.5 centimetre
18,https://m.media-amazon.com/images/I/719kN-5UmXL.jpg,120219,maximum_weight_recommendation,15.0 kilogram
19,https://m.media-amazon.com/images/I/514lBzBRSeL.jpg,966823,depth,10.4 inch
20,https://m.media-amazon.com/images/I/51v+z8sgtJL.jpg,459516,item_weight,20 gram
21,https://m.media-amazon.com/images/I/512vrXkCXfL.jpg,752266,wattage,10.0 watt
22,https://m.media-amazon.com/images/I/61Upl5AzL8L.jpg,221399,maximum_weight_recommendation,120 kilogram
23,https://m.media-amazon.com/images/I/81D3lTn6PkL.jpg,916768,item_volume,4.86 litre
24,https://m.media-amazon.com/images/I/71g5AJQbbRL.jpg,916768,item_volume,9.0 litre
25,https://m.media-amazon.com/images/I/71IMlecWMUL.jpg,731432,item_weight,700.0 gram
26,https://m.media-amazon.com/images/I/81-0dTAVqUL.jpg,297918,item_weight,60.0 gram
27,https://m.media-amazon.com/images/I/71faphPlTnL.jpg,752266,voltage,"[90.0, 130.0] volt"
28,https://m.media-amazon.com/images/I/61E0ugq9o7L.jpg,842895,depth,6.3 inch
29,https://m.media-amazon.com/images/I/71+9ZnHvFxL.jpg,179080,wattage,250.0 watt
30,https://m.media-amazon.com/images/I/61NWHCHybkL.jpg,752266,voltage,"[110.0, 240.0] volt"
31,https://m.media-amazon.com/images/I/71VsXg2Q8fL.jpg,641642,voltage,5.0 volt
32,https://m.media-amazon.com/images/I/81HQ5dnYRoL.jpg,986984,wattage,4.5 watt
33,https://m.media-amazon.com/images/I/61D0a0bydtL.jpg,801829,maximum_weight_recommendation,50 kilogram
34,https://m.media-amazon.com/images/I/71qOwwlONlL.jpg,630390,item_weight,2.2 pound
35,https://m.media-amazon.com/images/I/71yq2ZUUrBL.jpg,416664,item_weight,350.0 gram
36,https://m.media-amazon.com/images/I/61nytZswCmL.jpg,641642,voltage,12.0 volt
37,https://m.media-amazon.com/images/I/81PWdBq+cmL.jpg,120219,maximum_weight_recommendation,3.0 microgram
38,https://m.media-amazon.com/images/I/71IULZfmxEL.jpg,752266,wattage,60.0 watt
39,https://m.media-amazon.com/images/I/51XJQNcULPL.jpg,594224,width,27.5 centimetre
40,https://m.media-amazon.com/images/I/51VyD80K61L.jpg,200507,width,28.5 centimetre
41,https://m.media-amazon.com/images/I/61Z4AFG9ulL.jpg,318770,wattage,2.0 watt
42,https://m.media-amazon.com/images/I/61dPvsM9gGL.jpg,866516,item_weight,162.0 gram
43,https://m.media-amazon.com/images/I/81GdVtoBLfL.jpg,488883,maximum_weight_recommendation,300 kilogram
44,https://m.media-amazon.com/images/I/81X0xHXjLdL.jpg,416664,wattage,4.0 watt
45,https://m.media-amazon.com/images/I/51N+LC+LBkL.jpg,459516,item_volume,2.0 fluid ounce
46,https://m.media-amazon.com/images/I/51iioPJucZL.jpg,530124,width,17.7 inch
47,https://m.media-amazon.com/images/I/51H8LJQCzdL.jpg,969033,maximum_weight_recommendation,95 pound
48,https://m.media-amazon.com/images/I/51tY0IZEomL.jpg,210293,depth,4.17 inch
