,result
0,"['FBA', 'ITEM NO:LD-Z01OK', 'XO', 'SIZE:160*55.5*75cm/63*21.9*29.5in', 'WEIGHT:28kg/61.6lb']"
1,"['evolv.', 'VELOADER', 'CONE LOADER', ""Never worry about how you're going to"", 'fill your cones again.Use the evolv cone', 'loader to easily load up your cones.The', 'best part is it fits all your favourite', 'sizes of cones', 'ONE SIZE FITS ALL', 'WORKS WITH', '11/4', 'Lean']"
2,"['LED Ceiling Lamp', 'Model', 'B023', 'Rated Voltage', '110V', '220V', 'RatedFrequency', '50/60Hz', 'Rated Power', '12W', 'Manufacturer', 'Zhongshan City Qimeiao Lighting Co.,Ltd', 'Address', '1,No 16-1,Fuqing 5th Road,Hengdong Village,Henglan Town', 'Zhongshan City Guangdong Province,China', 'Contact Information', '+86075523595786', 'E2EURO Consulting GmbH', 'EC', 'REP', 'Hoferstasse9B,71636 Ludwigsburg', 'Germany']"
3,"[""2.48'/63mm"", '0.98inch/25mm', 'M4', '1.97""/50mm']"
4,"['7.5cm', 'urban platter', 'Classic South Tndian', 'Tomato Coconut', '11.5cm', 'CHUTNEYPOWDER', 'Also known as R  ', '200g/7oz', 'Best served with', 'IDLI/DOSA/ROTIO']"
5,"['5', 'SHELVES', 'O', 'KG', 'LOAD', '18KG', 'NON SLIPABLE', 'STAND', 'ATTACHABLE', 'CONNECTOR']"
6,"['GEDORE', 'GEDORE', 'R68903011', 'R68903011', 'Setllx', 'Setl1x']"
7,['none']
8,"['er offner', 'Zutater', 'Seflugelflei', '5%PutenHahn', 'chenfleisch).Tri', 'atriumcitrate', 'stoffe un', 'nulle nicht zum Verzehr', '400g', 'Einwaage', 'f', '3807', '5423-96968001', 'ZiegeleistraBe5.33775Versmold.ww', 'Geschmack', 'GEFLUGEL-FLEISCHWURST', 'elwurs', 'mit Knoblauch, fein wurzig', 'Serviervorschlag']"
9,"['Naratriptan HEXAL', '2,5 mg Filmtabletten', 'bei Migrane', 'Wirkstoff:Naratriptan', 'Akute Behandlung der', 'Kopfschmerzphase.von', 'HEXAL', 'Migraneanfallen mit', 'oder ohne Aura']"
10,"['1.5cm', '22.5cm', '33cm']"
11,"['170 cm(66.9"")', '3', 'cm(12.', '6', '48 cm(18.9""']"
12,"['DC5V/1A', 'WKT190711', '8 Lighting Modes', 'MADE IN CHINA', 'Exceptional at Creating A Variety of Aesthetic', 'Mode', 'Combination', 'Chasing/Flash', 'Waves', 'ON/OFF', 'Slow fade', 'Sequential', 'Twinkle/flash', 'Slow glow', 'Steady-on']"
